,LightGBM,Seasonal Naive,BiLSTM,Rolling LightGBM,Risk-Aware CQR,Risk-Aware Bayesian,Oracle
2024-01-16,112.57952015814891,-136.04297984185106,43.44847849148227,102.88827015814891,0.0,15.210378156595738,124.13499999999999
2024-01-17,48.89136869576902,-62.603214637564335,12.535743695769007,48.89136869576902,10.257170754588488,5.499754502975528,60.651250000000005
2024-01-18,-34.92429566894,-77.20262900227331,45.680079331059986,-1.8230456689399972,-11.627348526658228,15.78931158085887,91.62749999999998
2024-01-19,-21.215640762543604,37.2181092374564,6.983213404123063,9.565609237456396,4.520484670691293,3.4289218873371783,48.54875
2024-01-20,-13.6465235700201,-21.06589857002009,15.449101429979905,7.4459764299799005,9.759094101328035,7.8632061462787375,41.272499999999994
2024-01-21,8.468948763699736,-34.51980123630026,36.50238626369973,8.468948763699736,4.110518308645418,15.424164508109008,64.96458333333332
2024-01-22,2.2678675014005236,-153.8527574985995,43.24599250140053,9.367242501400522,5.041264171831567,41.2670418757315,138.585
2024-01-23,-5.403258146997025,-30.07638314699703,-2.5573206469970273,-5.403258146997025,0.9175899009082751,-2.5573206469970273,17.931250000000002
2024-01-24,10.125158304736289,-36.089841695263715,5.895783304736291,10.125158304736289,9.01309730674992,5.895783304736291,31.723750000000003
2024-01-25,-8.250343324786975,-4.809405824786971,24.975281675213026,33.94371917521303,41.42948918814475,15.736901591487186,69.66875
2024-01-26,2.861530560125999,37.814030560125985,3.295593060125988,13.446530560125993,0.3009300286715222,2.508055536047131,49.31625
2024-01-27,8.384688727577576,-0.910311272422426,6.955938727577568,6.182188727577575,5.140812364217222,5.878796118550101,34.962500000000006
2024-01-28,38.201142168564964,-1.5901078314350379,25.984892168564965,38.201142168564964,33.992587690209746,14.790388550299362,63.93625
2024-01-29,30.28346534539618,52.56221534539619,-0.5521596546038268,30.28346534539618,22.113119539437147,-0.361807428207704,61.18625
2024-01-30,2.9954077922167492,-6.023967207783251,0.7000952922167514,3.9597827922167532,6.983532792216749,0.8072827922167463,18.696666666666673
2024-01-31,21.21520112378961,28.97645112378961,13.9033261237896,5.566034457122939,23.012701123789608,11.826186982202127,38.798750000000005
2024-02-01,13.662855167054227,-53.34839483294577,25.66504266705422,9.819730167054226,13.662855167054227,14.409422148213075,66.01124999999999
2024-02-02,15.712713459301508,18.201463459301504,17.143025959301507,15.712713459301508,15.712713459301508,18.709379301195995,48.69499999999999
2024-02-03,12.735293628920399,2.7936269622537324,2.594251962253736,12.735293628920399,11.150189462253731,2.594251962253736,20.651666666666667
2024-02-04,-7.593810448759681,7.444939551240314,6.78493955124031,21.366189551240318,19.892439551240315,6.78493955124031,28.795
2024-02-05,20.397953210416965,15.895140710416968,34.92076571041696,25.80430737708363,4.178890710416967,20.117311635695245,56.934375
2024-02-06,-7.4578242288772465,0.5790507711227519,58.44217577112275,78.50030077112275,78.50030077112275,27.639585354104902,94.40625
2024-02-07,-0.35501479188401674,-13.838452291884014,9.763422708115986,-0.35501479188401674,13.825147050221187,9.763422708115986,26.63625
2024-02-08,19.820898621711272,4.571731955044614,10.25454445504461,14.928606955044609,-1.6482680449553868,10.25454445504461,29.439999999999998
2024-02-09,-8.395119748409758,0.8307135849235721,77.65363025159024,0.8307135849235721,84.26363025159024,48.46868635369276,93.53625000000001
2024-02-10,130.86870106556896,-12.8417156010977,79.60807606556895,130.86870106556896,144.10401471057702,22.93712872629823,190.98749999999998
