,Oracle,Naive (Autoformer),Risk-Aware (Bayesian)
117,23.370000000000005,13.41000000000001,23.31000000000001
118,29.739999999999995,17.52000000000001,29.189999999999998
119,19.429999999999993,11.240000000000002,18.179999999999993
120,19.07,-0.9399999999999977,18.65
121,14.100000000000001,6.510000000000012,13.93
122,14.29999999999999,1.539999999999992,13.410000000000004
123,16.61,0.4000000000000057,15.879999999999995
124,12.719999999999992,-1.7099999999999937,10.290000000000006
125,23.92,6.079999999999998,23.510000000000005
126,17.92,2.480000000000004,17.92
127,18.480000000000004,-1.2199999999999989,17.279999999999994
128,16.860000000000007,-4.9099999999999895,16.84000000000001
129,18.509999999999998,14.680000000000007,18.490000000000002
